"医 療 機 関 名 称","医療機関所在地",""電話番号","開設者氏名","管理者氏名","備　考"
"日比谷プラザ薬局","〒100－0006 千代田区有楽町一丁目６番１０号　スクワール日比谷ビル２階","03-3591-6868","柳本　有樹","柳本　豊子","薬局現存"
"薬石花房　幸福薬局","〒100－0011 千代田区内幸町一丁目１番１号　帝国ホテルプラザ４階","03-3580-0259","有限会社　パナックス　代表取締役　幸井　俊高","幸井　俊高","薬局現存"
"株式会社　薬局淡路町ファーマシー","〒101－0063 千代田区神田淡路町二丁目２３番地　Ｈビル１階","03-3253-3317","株式会社　薬局淡路町ファーマシー　代表取締役　松澤　敏","松澤　忍","薬局現存"
"日本調剤　飯田橋西口薬局","〒102－0071 千代田区富士見二丁目９番１０号","03-3221-7217","日本調剤　株式会社　代表取締役　三津原　庸介","松井　裕季","薬局現存"
"日本調剤　駿河台薬局","〒101－0062 千代田区神田駿河台二丁目５番地　村田ビルディング１階","03-5577-3918","日本調剤　株式会社　代表取締役　三津原　庸介","辻川　明子","薬局現存"
"いけだ薬局　駅前調剤店","〒102－0074 千代田区九段南四丁目８番２９号　小久保ビル１階","03-5215-8989","有限会社　ファーマシー池田　代表取締役　池田　賢一","池田　明子","薬局現存"
"ツイン薬局　半蔵門店","〒102－0083 千代田区麹町一丁目８番地７　エミナビル１階","03-6661-4551","株式会社　ケイファーマシー　代表取締役　金田　英樹","金田　英樹","薬局現存"
"ファーコス薬局　アキバ","〒101－0023 千代田区神田松永町１１番地　ＡＴ第一ビル１階","03-3526-5922","株式会社　ファーコス　代表取締役社長　島田　光明","植木　温子","薬局現存"
"マルマツ薬局　九段店","〒102－0072 千代田区飯田橋一丁目５番８号　アクサンビル１階","03-6808-5320","株式会社　マルマツ薬局　代表取締役　松村　善一","松村　世枝","薬局現存"
"雄飛堂薬局　秋葉原店","〒101－0024 千代田区神田和泉町一丁目１３番地１　水戸部ビル１階","03-5809-1901","株式会社　雄飛堂　代表取締役　大塚　祐一","柳町　幸子","薬局現存"
"アップル薬局　六番町店","〒102－0085 千代田区六番町７番地　金澤ビル１階","03-5211-2460","株式会社　アップルケアネット　代表取締役　小林　博美","和田　幸子","薬局現存"
"神田いちご薬局","〒101－0035 千代田区神田紺屋町５番地　Ｔ・Ｍビル１階","03-5256-1562","有限会社　ケーエムエーいちご　代表取締役　田中　邦雄","田中　邦雄","薬局現存"
"雄飛堂薬局　飯田橋店","〒102－0072 千代田区飯田橋四丁目３番２号　１階","03-5216-3099","株式会社　雄飛堂　代表取締役　大塚　祐一","小池　康子","薬局現存"
"薬局トモズ　大手町カンファレンスセンター店","〒100－0004 千代田区大手町一丁目３番２号　大手町カンファレンスセンター地下１階","03-6213-0660","株式会社　トモズ　代表取締役　德廣　英之","木村　加奈子","薬局現存"
"いずみ薬局　麹町店","〒102－0083 千代田区麹町五丁目２番地１　Ｋ－ＷＩＮＧ１階","03-3234-7856","有限会社　カナガワイノン　代表取締役　島田　喜彦","宮入　政寛","薬局現存"
"ロイヤル薬局　神田淡路町店","〒101－0063 千代田区神田淡路町二丁目６番地　淡路ビル１階","03-5295-3531","有限会社　ティー・アール・ピー　取締役　山手　美由紀","山手　美由紀","薬局現存"
"スギ薬局　神田西口通り店","〒101－0047 千代田区内神田二丁目１０番７号　プレミアステージ内神田１階","03-3254-7361","株式会社　スギ薬局　代表取締役　原　栄一","赤津　枝里香","薬局現存"
"いまくま薬局","〒102－0083 千代田区麹町一丁目３番地　ダイアン麹町ビル１階","03-3264-5053","有限会社　今熊薬品商会　代表取締役　今熊　純男","中澤　香澄","薬局現存"
"いけだ薬局　番町店","〒102－0082 千代田区一番町７番地１　一番町ビルヂング１階","03-5275-8989","有限会社　ファーマシー池田　代表取締役　池田　賢一","池田　賢一","薬局現存"
"スギ薬局　神田駅東口店","〒101－0044 千代田区鍛冶町二丁目２番２号　神田パークプラザ１階","03-3254-5631","株式会社　スギ薬局　代表取締役　原　栄一","濱田　優丸","薬局現存"
"千代田区薬剤師会　会営調剤薬局","〒102－0073 千代田区九段北一丁目２番１４号　千代田保健所地下１階","03-5211-8197","一般社団法人　千代田区薬剤師会　代表理事　松村　善一","増渕　英寿","薬局現存"
"いずみ薬局六番町","〒102－0085 千代田区六番町３番地１　玉柳ビル地下１階","03-3234-3628","株式会社　イノン　代表取締役　島田　喜彦","石川　秀美","薬局現存"
"五番町はるかぜ薬局","〒102－0076 千代田区五番町２　横山ビル１階","03-6268-9200","株式会社　はるかぜ薬局　代表取締役　松井　理","松井　理","薬局現存"
"かちどき薬局　霞が関店","〒100－6003 千代田区霞が関三丁目２番５号　霞が関ビル３１０","03-3581-7764","かちどき薬品　株式会社　代表取締役　町田　剛","井上　博美","薬局現存"
"わたなべ調剤薬局","〒100－0011 千代田区内幸町二丁目２番１号　日本プレスセンタービル地下１階","03-5157-4233","雅ファーマシー　株式会社　代表取締役　渡邉　雅尋","増田　くるみ","薬局現存"
"コートビル調剤薬局","〒102－0094 千代田区紀尾井町３番１９号　紀尾井町コートビル２階","03-3222-0910","紀尾井町調剤　株式会社　代表取締役　武藤　啓子","青木　ひろ子","薬局現存"
"さくら薬局　御茶ノ水駅前店","〒101－0062 千代田区神田駿河台２丁目４番地１","03-5577-6714","クラフト　株式会社　代表取締役　大塚　吉史","　喜裕","薬局現存"
"メトグリーン３号館薬局","〒100－0013 千代田区霞が関二丁目１番３号　中央合同庁舎３号館Ｂ１売店","03-3519-8744","株式会社　メトグリーン　飯田　裕","飯田　裕","薬局現存"
"日本調剤　御茶ノ水橋口薬局","〒101－0062 千代田区神田駿河台二丁目６番地１　華ビル１階２階","03-5283-7470","日本調剤　株式会社　代表取締役　三津原　庸介","上杉　尚代","薬局現存"
"日本調剤　九段下薬局","〒102－0073 千代田区九段北一丁目３番２号　大橋ビル１階","03-5211-7971","日本調剤　株式会社　代表取締役　三津原　庸介","藤井　美樹","薬局現存"
"ファルマルシェ薬局　ＡＫＩＢＡーＩＣＨＩ","〒101－0021 千代田区外神田四丁目１４番１号　秋葉原ＵＤＸ１０４","03-5207-8391","株式会社　アポステータス　代表取締役　林　昭弘","大日方　徹","薬局現存"
"薬局マツモトキヨシ　ワテラスモール店","〒101－0063 千代田区神田淡路町二丁目１０５番地　ワテラスアネックス１階","03-3526-7321","株式会社　マツモトキヨシ　代表取締役　大田　貴雄","杉山　亜樹","薬局現存"
"スギ薬局　一番町店","〒102－0082 千代田区一番町６番地　相模屋本社ビル１階","03-5275-3085","株式会社　スギ薬局　代表取締役　原　栄一","戸田　成一","薬局現存"
"ココカラファイン薬局飯田橋店","〒102－0072 千代田区飯田橋三丁目１０番９号　アイガーデンテラス１階","03-5276-2158","株式会社　ココカラファインヘルスケア　代表取締役　塚本　厚志","鹿野　友宏","薬局現存"
"アガペ飯田橋薬局","〒102－0072 千代田区飯田橋三丁目１０番１０号　ガーデンエアタワー２階","03-6261-3730","株式会社　アガペ　代表取締役　藤木　一行","上野　洋子","薬局現存"
"大手町調剤薬局","〒100－0004 千代田区大手町一丁目５番１号　大手町ファーストスクエアＷＥＳＴ１階","03-3215-8880","有限会社　日本ビル調剤薬局　代表取締役　内田　美智子","矢部　景子","薬局現存"
"さくら薬局　大手町店","〒100－0004 千代田区大手町一丁目５番５号　大手町タワー地下１階","03-6268-0156","クラフト　株式会社　代表取締役　大塚　吉史","樋口　裕子","薬局現存"
"レモン薬局　秋葉原店","〒101－0025 千代田区神田佐久間町三丁目３７番地５９　マルチーノビル１階","03-5687-8451","シップヘルスケアファーマシー東日本　株式会社　代表取締役　沖本　浩一","大川　優人","薬局現存"
"まゆみ薬局　半蔵門店","〒102－0092 千代田区隼町２番１４号","03-6261-4453","野川薬品　有限会社　代表取締役　野川　敏幸","矢野　文恵","薬局現存"
"エース薬局　神保町支店","〒101－0051 千代田区神田神保町一丁目７番地１２　巌松堂ビル７階","03-5577-6157","エース調剤　株式会社　代表取締役　相良　直哉","鈴木　美穂","薬局現存"
"日生薬局　飯田橋店","〒102－0071 千代田区富士見二丁目１０番２号　飯田橋グラン・ブルーム１階","03-3262-8261","ミアヘルサ　株式会社　代表取締役　青木　勇","関　祐香","薬局現存"
"さくら薬局　駿河台店","〒101－0062 千代田区神田駿河台一丁目８番地１１　東京ＹＷＣＡ会館１階","03-6273-7373","クラフト　株式会社　代表取締役　大塚　吉史","広瀬　桜","薬局現存"
"日本調剤　神田駿河台薬局","〒101－0062 千代田区神田駿河台二丁目４番地　お茶の水日健ビル１階２階","03-3518-6031","日本調剤　株式会社　代表取締役　三津原　庸介","伊藤　択真","薬局現存"
"調剤薬局霞が関ファーマシー","〒100－0013 千代田区霞が関一丁目４番１号　日土地ビル１階","03-3519-7711","株式会社　阪神調剤薬局　代表取締役　岩崎　壽毅","野田　峻佑","薬局現存"
"コトブキ調剤薬局　日大前店","〒101－0062 千代田区神田駿河台一丁目８番地１　１階から５階","03-3518-9886","株式会社　阪神調剤薬局　代表取締役　岩崎　壽毅","筒井　裕美","薬局現存"
"ウエルシア薬局　千代田御茶ノ水店","〒101－0021 千代田区外神田二丁目２番１５号　１階","03-5256-7631","ウエルシア薬局　株式会社　代表取締役　水野　秀晴","真田　さやか","薬局現存"
"そうごう薬局　東京サンケイビル店","〒100－0004 千代田区大手町一丁目７番２号　東京サンケイビル地下１階","03-3527-9781","総合メディカル　株式会社　代表取締役　貞久　雅利","熊谷　槙子","薬局現存"
"日本調剤　神保町薬局","〒101－0051 千代田区神田神保町三丁目２番地４　田村ビル１階","03-3265-2105","日本調剤　株式会社　代表取締役　三津原　庸介","栗城　幸子","薬局現存"
"そうごう薬局　有楽町店","〒100－0006 千代田区有楽町二丁目１０番１号　東京交通会館１階","03-3218-3020","総合メディカル　株式会社　代表取締役　貞久　雅利","安田　千里","薬局現存"
"アイン薬局　大手町店","〒100－0004 千代田区大手町一丁目９番７号　大手町フィナンシャルシティサウスタワー１階","03-3510-6318","株式会社　アインファーマシーズ　代表取締役　大石　美也","上市　敦子","薬局現存"
"アイン薬局　三崎店","〒101－0062 千代田区神田駿河台二丁目２番地　御茶ノ水杏雲ビル１階","03-3296-1210","株式会社　アインファーマシーズ　代表取締役　大石　美也","森山　京英","薬局現存"
"アイン薬局　八重洲口店","〒100－0005 千代田区丸の内一丁目８番２号　鉄鋼ビルディング地下１階","03-6256-0278","株式会社　アインファーマシーズ　代表取締役　大石　美也","足達　己徳","薬局現存"
"茅沼順子薬局","〒102－0093 千代田区平河町一丁目８番８号　桔梗ライオンズマンション平河町１０８","03-3262-5598","有限会社　カドゥー　代表取締役社長　沼　順子","茅沼　順子","薬局現存"
"薬局マツモトキヨシ　岩本町駅前店","〒101－0033 千代田区神田岩本町１番地　岩本町ビル１階","03-5297-3022","株式会社　マツモトキヨシ　代表取締役　大田　貴雄","町井　徹","薬局現存"
"薬局マツモトキヨシ　御茶ノ水駿河台店","〒101－0062 千代田区神田駿河台二丁目１番地　お茶の水クリスチャン・センタービル１階　","03-3518-2136","株式会社　マツモトキヨシ　代表取締役　大田　貴雄","中村　友哉","薬局現存"
"エール薬局　日比谷店","〒100－0006 千代田区有楽町一丁目７番１号　有楽町電気ビル北館５０７","03-3283-7078","株式会社　アインファーマシーズ　代表取締役　大石　美也","兼子　絢","薬局現存"
"いちご薬局　神保町","〒101－0051 千代田区神田神保町一丁目２９番地　市瀬ビル１階","03-3296-7415","有限会社　ケーエムエーいちご　代表取締役　田中　邦雄","田中　淳美","薬局現存"
"薬局アメリカンファーマシー　東京ガーデンテラス紀尾井町店","〒102－0094 千代田区紀尾井町１番３号　東京ガーデンテラス紀尾井町１階","03-6265-6080","株式会社　トモズ　代表取締役　德廣　英之","服部　伸隆","薬局現存"
"フジモト薬局","〒100－6190 千代田区永田町二丁目１１番１号　山王パークタワー地下１階","03-3506-0571","有限会社　フジモト薬局　代表取締役　馬場　英二","馬場　英二","薬局現存"
"スギ薬局　岩本町店","〒101－0032 千代田区岩本町三丁目８番１６号　ＮＭＦ神田岩本町ビル１階","03-5823-4961","株式会社　スギ薬局　代表取締役　原　栄一","橋本　幹子","薬局現存"
"アイセイ薬局　九段南店","〒102－0074 千代田区九段南一丁目６番１７号　千代田会館ビル１階","03-5226-0033","株式会社　アイセイ薬局　代表取締役　藤井　江美","今村　明日香","薬局現存"
"アイセイ薬局　駿河台店","〒101－0052 千代田区神田小川町三丁目８番地　中北ビル１階","03-3292-9383","株式会社　アイセイ薬局　代表取締役　藤井　江美","三室　朋子","薬局現存"
"ウィン薬局","〒101－0061 千代田区三崎町二丁目１７番２号　オースピス水道橋ビル３階","03-6272-3345","株式会社　ウィンメディックス　代表取締役　白木　茂","野口　佳子","薬局現存"
"フォレスト薬局　秋葉原店","〒101－0025 千代田区神田佐久間町二丁目１番地　永島ビル１階","03-5829-6325","株式会社　アポステータス　代表取締役　林　昭弘","及川　健","薬局現存"
"キク調剤薬局","〒101－0062 千代田区神田駿河台二丁目２番地２９　鎌倉ビル１階","03-3293-2397","株式会社　日本アポック　代表取締役　金本　鎭久","池口　めぐみ","薬局現存"
"ウエルシア薬局　神田小川町店","〒101－0052 千代田区神田小川町一丁目２番地　風雲堂ビル１階","03-5289-3101","ウエルシア薬局　株式会社　代表取締役　水野　秀晴","筧　えり子","薬局現存"
"永田町薬局","〒102－0093 千代田区平河町二丁目７番９号　ＪＡ共済ビル２階","03-3239-5391","株式会社　東京オレンジ薬局　代表取締役　柳生　美江","粕田　みどり","薬局現存"
"竹内薬局　神田須田町店","〒101－0041 千代田区神田須田町一丁目１６番地８　柳下ビル１階","03-6260-8301","株式会社　竹内調剤薬局　代表取締役　竹内　稔","山本　まゆみ","薬局現存"
"薬局トモズ　大手町プレイス店","〒100－0004 千代田区大手町二丁目３番１号　大手町プレイス・ウエストタワーＢ１Ｆ","03-5542-1197","株式会社　トモズ　代表取締役　德廣　英之","若井　暁","薬局現存"
"神田東松下町薬局","〒101－0042 千代田区神田東松下町１７番地１５　伊東ビル１階","03-5295-7018","株式会社　日本アポック　代表取締役　金本　鎭久","堀内　尚美","薬局現存"
"クオール薬局　読売新聞東京本社店","〒100－0004 千代田区大手町一丁目７番１号　読売新聞ビル３階","03-3516-9089","クオール　株式会社　代表取締役　荒木　勲","中田　麻衣子","薬局現存"
"クオール薬局　ビックカメラ有楽町店","〒100－0006 千代田区有楽町一丁目１１番１号　３階","03-5208-1189","クオール　株式会社　代表取締役　荒木　勲","北原　嵩","薬局現存"
"お茶の水調剤薬局　本店","〒101－0062 千代田区神田駿河台二丁目２番地５　井口ビル１階","03-3295-8641","クオール　株式会社　代表取締役　荒木　勲","笹原　侑祐","薬局現存"
"クオール薬局　四谷店","〒102－0083 千代田区麹町五丁目４番地　セタニビル１階","03-3230-3185","クオール　株式会社　代表取締役　荒木　勲","山根　友子","薬局現存"
"クオール薬局　丸の内店","〒100－0004 千代田区大手町二丁目２番１号　新大手町ビル１２２区","03-6214-0089","クオール　株式会社　代表取締役　荒木　勲","嘉屋　有紀子","薬局現存"
"ナチュラルローソンクオール薬局　神田鍛冶町二丁目店","〒101－0044 千代田区鍛冶町二丁目３番２号　神田センタービル１階","03-5209-0289","クオール　株式会社　代表取締役　荒木　勲","加藤　亜弥","薬局現存"
"アイン薬局　グランスタ丸の内店","〒100－0005 千代田区丸の内一丁目９番１号　ＪＲ東日本東京駅構内地下１階","03-6259-1561","株式会社　アインファーマシーズ　代表取締役　大石　美也","渡部　良太","薬局現存"
"ウエルシア薬局　神田小川町２号店","〒101－0052 千代田区神田小川町一丁目１番地　神田室町ビル１階","03-5280-9303","ウエルシア薬局　株式会社　代表取締役　水野　秀晴","木須　智紀","薬局現存"
"エール薬局　九段店","〒102－0073 千代田区九段北一丁目９番７号　東洋Ｍビル１階","03-3237-7091","株式会社　リフテップ　代表取締役　内坪　誉志","長岡　建","薬局現存"
"東商ビル薬局","〒100－0005 千代田区丸の内三丁目２番２号　丸の内二重橋ビル地下１階","03-6269-9500","株式会社　東商ビル薬局　代表取締役　阿久津　由美子","阿久津　由美子","薬局現存"
"薬局お茶の水ファーマシー","〒101－0051 東京都千代田区神田神保町一丁目２番地３　水野ビル３階","03-5577-7646","株式会社　ザイシ　代表取締役　片山　陸","山　陸","薬局現存"
"達生堂薬局","〒101－0031 千代田区東神田一丁目１１番７号　ハイツ神田岩本町Ｂ１０３","03-6277-7867","株式会社　明徳国際生命科学文化研究所　代表取締役　常　金海","田中　愛里","薬局現存"
"ウエルシア薬局　千代田麹町店","〒102－0083 千代田区麹町三丁目４番地　トラスティ麹町ビル１階","03-3515-2448","ウエルシア薬局　株式会社　代表取締役　水野　秀晴","橋井　紀子","薬局現存"
"薬局くすりの福太郎　飯田橋１丁目店","〒102－0072 千代田区飯田橋一丁目８番９号　ニューシティハイツ飯田橋１０１","03-3234-3217","株式会社　くすりの福太郎　代表取締役　小川　久哉","山中　美佐子","薬局現存"
"あつみ薬局　岩本町店","〒101－0041 千代田区神田須田町二丁目８番地４　第二神田須田町ビル１階","03-3527-1321","あつみ薬品　株式会社　代表取締役　松本　正","松本　怜子","薬局現存"
"薬のヒグチ薬局　新飯田橋店","〒102－0072 千代田区飯田橋四丁目６番９号　ロックフィールドビル１階","03-3237-8505","ファーマライズ　株式会社　代表取締役　松浦　惠子","藤井　迪瑠","薬局現存"
"薬ヒグチ調剤薬局　ニューオータニ店","〒102－0094 千代田区紀尾井町４番１号　ニューオータニガーデンコート２階","03-3234-2821","ファーマライズ　株式会社　代表取締役　松浦　惠子","永井　愛瑛","薬局現存"
"ファミリーマート＋ファーマライズ薬局　末広町店","〒101－0021 千代田区外神田六丁目１５番１１号　日東ビル１階","03-5817-7155","ファーマライズ　株式会社　代表取締役　松浦　惠子","澤口　恵子","薬局現存"
"アピス薬局　麹町店","〒102－0083 千代田区麹町三丁目３番地　麹町スクエアビル２階","03-3230-4881","株式会社　アピスファーマシーＴＭ　代表取締役　川越　敏章","山崎　政範","薬局現存"
"アガペ　岩本町薬局","〒101－0033 千代田区神田岩本町１番地５　清水ビル地下１階","03-5244-4321","株式会社　アガペ　代表取締役　藤木　一行","杉山　卓矢","薬局現存"
"オルカ薬局","〒101－0021 千代田区外神田六丁目２番９号　外神田六丁目ビル１階","03-6284-2477","関吉　株式会社　代表取締役　関吉　アキ","久保　忠一","薬局現存"
"末広町薬局","〒101－0021 千代田区外神田五丁目２番３号　アソルティ末広町地下１階","03-5846-8858","有限会社　ヱド川薬局　代表取締役　田中　千裕","磯﨑　義寛","薬局現存"
"みらくる薬局　神田店","〒101－0044 千代田区鍛冶町一丁目８番３号　神田９１ビルディング１階","03-3526-2495","株式会社　メディプラン　代表取締役　杉本　亮","佐々木　まゆか","薬局現存"
"スギ薬局　九段下店","〒102－0073 千代田区九段北一丁目２番３号　フナトビル１階","03-6910-0622","株式会社　スギ薬局　代表取締役　原　栄一","佐藤　彩","薬局現存"
"さくら薬局　内神田店","〒101－0047 千代田区内神田二丁目４番１号　神田メディカルビル１階","03-3252-5225","クラフト　株式会社　代表取締役　大塚　吉史","片山　尚美","薬局現存"
"和同会薬局","〒101－0062 千代田区神田駿河台二丁目３番地１０　東京医科歯科大学生体材料工学研究所１階","03-3296-1023","一般財団法人　和同会　代表理事　谷田　弘","赤嶺　有希子","薬局現存"
"ウエルシア薬局　秋葉原駅前店","〒101－0021 千代田区外神田一丁目１８番１９号ＢｉＴＯ　ＡＫＩＢＡ　１階","03-3526-6125","ウエルシア薬局　株式会社　代表取締役　水野　秀晴","山田　友紀","薬局現存"
"メトロファーマシー神田","〒101－0044 千代田区鍛冶町二丁目８番６号　メディカルプライム神田１階","03-3527-1033","株式会社　メトロファーマシー　代表取締役　宮川　博行","阿部　俊哉","薬局現存"
"神田駿河台調剤薬局","〒101－0062 千代田区神田駿河台一丁目８番地４　お茶の水ビル１階・２階","03-5217-9217","株式会社　サンドラッグファーマシーズ　代表取締役　落合　佳宏","山内　博幸","薬局現存"
"田辺薬局　神田錦町店","〒101－0054 千代田区神田錦町一丁目５番地　カワベビル１階","03-5283-7351","株式会社　Ｋコーポレーション　代表取締役　平山　薫","小嶋　真委","薬局現存"
"有限会社　吉田薬局","〒103－0002 中央区日本橋馬喰町二丁目４番１号","03-3661-2604","有限会社　吉田薬局　田邉　三","田辺　三","薬局現存"
"玉置薬局","〒103－0004 中央区東日本橋二丁目１６番８号","03-3861-0005","株式会社　玉置文治郎商店　玉置　貴美子","安藤　照子","薬局現存"
"株式会社　大成堂薬局","〒103－0013 中央区日本橋人形町二丁目１１番５号","03-3666-5718","株式会社　大成堂　代表取締役　橋崎　麗子","本郷　知亜紀","薬局現存"
